Id,Text,User Name,Date of Tweet,Like Count,Comment Count,retweet Count,View count,countOfWords,countOfPositive,countOfNegative,Art,Health,Politics,Science,Sport
1,No way jidion met Donald Trump at ufc 287 ,shannonsharpeee,18h,20200,134,1014,1600000,9,1,0,0,0,1,0,0
2,"Less than 24 hours after Easter, Donald Trump has gone on a completely manic posting frenzy as legal experts say his angry ranting may open the door to even more charges. Trump spent the entire morning today posting a blizzard of messages on his Truth Social account, shortly…",CalltoActivism,18h,13100,1283,2488,1900000,48,1,4,0,0,1,0,0
3,"DISGRACEFUL! Florida GOP Congressman Cory Mills told TIME that he’s endorsing Donald Trump for President AFTER his criminal indictment. Mills, a freshman member of Congress, represents a Central Florida district. Get this: Mills says that he’s endorsing Trump to “unify” the…",joncooperttweets,13h,8251,1574,1476,1700000,41,2,1,0,0,1,0,0
4,"Jim Jordan, who chairs the ""weaponization committee,"" has been busy weaponizing Congress against Alvin Bragg. He scheduled a hearing here in NYC in an attempt to intimidate the Manhattan DA and interfere with the prosecution of Donald Trump. How is this remotely ethical?",RitchieTorres,20h,7866,1043,2971,725600,43,0,2,0,0,1,0,0
5,"Say what you will about the man, but I am here to tell you that the Donald Trump Toilet Bowl Brush is AMAZING! Maybe the best toilet bowl brush ever!",DougWahl1,14h,796,144,198,13800,30,2,0,0,0,1,0,0
6,"The crowd erupts as Donald Trump sits in the front row at #UFC287 with Dana White, Mike Tyson and Kid Rock",nojumber,24h,8795,178,942,693100,21,1,0,0,0,1,0,0
7,Fake News hid Hunter's laptop to steal ONE election... ABC squashed the Epstein story cuz Hillary Clinton was running against Donald Trump for President. Despite the Radical Left's weaponization of Big Tech & Big Media to hide it all to protect themselves while running a…,PTRUMPFORTX2020,16h,595,49,261,109400,45,2,3,0,0,1,0,0
8,Donald Trump is the FIGHTER America needs!,NickAdamsinUSA,12h,2371,957,417,58900,7,1,0,0,0,1,0,0
9,The People LOVE Donald Trump 🇺🇸President 45 had the entire UFC Arena buzzing all night. #UFC287,OleMurica,24h,1348,41,345,154400,16,2,1,0,0,1,0,0
10,"The real reason MAGA is a problem for the elites has nothing to w Donald Trump. It’s because MAGA really represents ‘wethepeople’ - all people - regardless of race, color, creed or faith. It’s the first movement actually standing up for the people & not controlled by the powerful",laralogan,7h,4596,209,1355,88300,49,1,1,0,0,1,0,0
11,For anyone still in doubt. Here is he saying the quiet part out loud. Joe Biden and his team are coordinating the Trump indictments to stop Donald Trump from being the next president again.....,ricwe123,6h,202,26,90,16300,34,2,0,0,0,1,0,0
12,Is russia granting asylum to Donald Trump,karma44921039,24h,295,9,140,23400,7,1,0,0,0,1,0,0
13,Fun Fact: Every single state that voted for Donald Trump in 2020 receives more money from the federal government than they contribute to the federal government. Happy Red Welfare States Day to all those who take and celebrate.,jefftimmer,24h,20300,239,5145,1100000,38,3,0,0,0,1,0,0
